printer,location
arh124,ARH Room 124. North East corner of wall
avlab,AV Lab 2nd Floor ARH
baskerville,Noyce 2nd Floor 2401 Lab
bca1,Bucksbaum Lobby
cleveland,Cleveland Dorm Computer Lab - 1st floor
dormprinters,All Dorm Printers
duerer,Noyce 3822
falab,BCA 222
frmsl_hpbw,IT Services Desk - Forum
gencomp-bw,ARH Gencomp Lab - 2nd floor
gencomp-color,ARH Gencomp Lab - 2nd floor
jrcemail,JRC Email Kiosk Lounge
lib_1st_flr,Burling 1st Floor
lib_2nd_flr-bw,Burling Library2nd Floor Near East Stairs
lib_2nd_flr-color,Burling Library 2nd Floor - Color
lib_iif,Basement Burling Library NE Corner.
net$1,Networking
net$1_t1,Networking
net1,Networking
neuro,Noyce Neuro Lab 0412
norris,Norris Dorm Computer Lab
palatino,Noyce 2011 - Math Lab
psych1515bw,Noyce Lab 1515
psych1515clr,Psychology Lab Noyce 1515 - Color
psych1515mw,Psychology Lab Noyce 1515
rathje,Rathje Dorm Computer lab
read,Read Dorm computer lab
rose,Rose Hall South Hallway
scilab,Lab in Noyce 1st Floor South East Corner
scilib,Kistle Library Noyce Second Floor 
tory,Noyce 2246
younker,Younker Hall Computer Lab
